#  aims_uuid : 222F905C-D19D-4B41-A54F-3F46AF5E1A00                                
# Angular momentum resolved density for species Csas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -24.71197120        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.70797080        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.70397040        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.69997000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.69596960        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.69196920        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.68796880        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.68396840        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.67996800        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.67596760        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.67196720        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.66796680        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.66396640        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.65996600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.65596560        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.65196520        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.64796480        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.64396440        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.63996400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.63596360        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.63196320        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.62796280        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.62396240        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.61996200        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.61596160        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.61196120        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.60796080        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.60396040        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.59996000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.59595960        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.59195920        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.58795880        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.58395840        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.57995800        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.57595760        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.57195720        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.56795680        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.56395640        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.55995600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.55595560        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.55195520        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.54795480        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.54395440        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.53995400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.53595360        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.53195320        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.52795280        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.52395240        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.51995200        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.51595160        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.51195120        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.50795080        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.50395040        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.49994999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.49594959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.49194919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.48794879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.48394839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.47994799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.47594759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.47194719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.46794679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.46394639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.45994599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.45594559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.45194519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.44794479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.44394439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.43994399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.43594359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.43194319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.42794279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.42394239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.41994199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.41594159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.41194119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.40794079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.40394039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.39993999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.39593959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.39193919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.38793879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.38393839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.37993799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.37593759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.37193719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.36793679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.36393639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.35993599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.35593559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.35193519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.34793479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.34393439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.33993399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.33593359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.33193319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.32793279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.32393239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.31993199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.31593159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.31193119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.30793079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.30393039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.29992999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.29592959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.29192919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.28792879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.28392839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.27992799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.27592759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.27192719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.26792679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.26392639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.25992599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.25592559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.25192519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.24792479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.24392439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.23992399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.23592359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.23192319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.22792279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.22392239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.21992199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.21592159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.21192119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.20792079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.20392039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.19991999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.19591959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.19191919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.18791879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.18391839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.17991799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.17591759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.17191719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.16791679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.16391639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.15991599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.15591559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.15191519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.14791479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.14391439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.13991399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.13591359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.13191319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.12791279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.12391239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.11991199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.11591159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.11191119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.10791079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.10391039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.09990999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.09590959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.09190919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.08790879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.08390839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.07990799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.07590759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.07190719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.06790679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.06390639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.05990599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.05590559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.05190519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.04790479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.04390439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.03990399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.03590359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.03190319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.02790279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.02390239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.01990199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.01590159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.01190119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.00790079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.00390039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.99989999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.99589959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.99189919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.98789879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.98389839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.97989799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.97589759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.97189719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.96789679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.96389639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.95989599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.95589559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.95189519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.94789479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.94389439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.93989399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.93589359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.93189319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.92789279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.92389239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.91989199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.91589159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.91189119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.90789079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.90389039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.89988999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.89588959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.89188919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.88788879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.88388839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.87988799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.87588759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.87188719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.86788679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.86388639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.85988599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.85588559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.85188519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.84788479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.84388439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.83988399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.83588359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.83188319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.82788279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.82388239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.81988199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.81588159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.81188119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.80788079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.80388039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.79987999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.79587959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.79187919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.78787879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.78387839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.77987799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.77587759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.77187719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.76787679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.76387639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.75987599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.75587559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.75187519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.74787479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.74387439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.73987399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.73587359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.73187319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.72787279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.72387239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.71987199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.71587159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.71187119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.70787079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.70387039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.69986999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.69586959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.69186919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.68786879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.68386839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.67986799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.67586759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.67186719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.66786679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.66386639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.65986599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.65586559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.65186519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.64786479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.64386439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.63986399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.63586359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.63186319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.62786279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.62386239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.61986199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.61586159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.61186119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.60786079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.60386039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.59985999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.59585959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.59185919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.58785879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.58385839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.57985799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.57585759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.57185719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.56785679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.56385639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.55985599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.55585559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
